"year","month","temperature"
1991,"Березень",0.5
1992,"Березень",3.7
1993,"Березень",0.9
1994,"Березень",1.4
1995,"Березень",3.5
1996,"Березень",-3
1997,"Березень",2.1
1998,"Березень",1.3
1999,"Березень",3.2
2000,"Березень",1.7
2001,"Березень",2.7
2002,"Березень",5.5
2003,"Березень",0.1
2004,"Березень",3.9
2005,"Березень",-1.6
2006,"Березень",0
2007,"Березень",6.3
2008,"Березень",4.6
2009,"Березень",2.3
2010,"Березень",1.4
2011,"Березень",1.5
2012,"Березень",2.5
2013,"Березень",-1.7
2014,"Березень",6.8
1812,"Квітень",4.9
1813,"Квітень",9.1
1814,"Квітень",8.6
1815,"Квітень",6.7
1816,"Квітень",7.2
1817,"Квітень",4.8
1818,"Квітень",9.8
1819,"Квітень",9.5
1820,"Квітень",8.7
1821,"Квітень",10.1
1822,"Квітень",10.3
1823,"Квітень",5.1
1824,"Квітень",6.7
1825,"Квітень",3.4
1826,"Квітень",4.2
1827,"Квітень",6.9
1828,"Квітень",6
1829,"Квітень",7.2
1830,"Квітень",6.6
1831,"Квітень",7.1
1832,"Квітень",3.8
1833,"Квітень",5.7
1834,"Квітень",4.6
1835,"Квітень",6.1
1836,"Квітень",9.3
1837,"Квітень",9.2
1838,"Квітень",7.2
1839,"Квітень",4
1840,"Квітень",4
1841,"Квітень",6.9
1842,"Квітень",4
1843,"Квітень",7.4
1844,"Квітень",5.1
1845,"Квітень",5.1
1847,"Квітень",8.8
1851,"Квітень",9.2
1852,"Квітень",2.8
1853,"Квітень",6.7
1854,"Квітень",6
1855,"Квітень",9
1856,"Квітень",7.8
1857,"Квітень",10.2
1858,"Квітень",5.3
1859,"Квітень",8.4
1860,"Квітень",7.4
1861,"Квітень",3.8
1862,"Квітень",7.3
1863,"Квітень",4.6
1864,"Квітень",6.6
1865,"Квітень",5.4
1866,"Квітень",8.4
1867,"Квітень",6.4
1868,"Квітень",6.4
1869,"Квітень",7.8
1870,"Квітень",6.4
1871,"Квітень",6.2
1872,"Квітень",11
1873,"Квітень",6.2
1874,"Квітень",6.6
1875,"Квітень",3
1876,"Квітень",12.1
1877,"Квітень",5.6
1878,"Квітень",8.8
1879,"Квітень",8.2
1880,"Квітень",8
1881,"Квітень",4.4
1882,"Квітень",7.6
1883,"Квітень",4.6
1884,"Квітень",4.1
1885,"Квітень",9
1886,"Квітень",8.2
1887,"Квітень",6.3
1888,"Квітень",8.5
1889,"Квітень",7.4
1890,"Квітень",10.6
1891,"Квітень",5.7
1892,"Квітень",8.2
1893,"Квітень",2.9
1894,"Квітень",7.8
1895,"Квітень",5.7
1896,"Квітень",4.2
1897,"Квітень",9.6
1898,"Квітень",5.2
1899,"Квітень",8.5
1900,"Квітень",5.7
1901,"Квітень",6.9
1902,"Квітень",5.2
1903,"Квітень",8.3
1904,"Квітень",6.6
1905,"Квітень",5.7
1906,"Квітень",9.9
1907,"Квітень",4.8
1908,"Квітень",5.4
1909,"Квітень",4.9
1910,"Квітень",8.3
1911,"Квітень",8.2
1912,"Квітень",5.4
1913,"Квітень",10.4
1914,"Квітень",8.2
1915,"Квітень",7.9
1916,"Квітень",8.7
1917,"Квітень",8
1918,"Квітень",10.6
1919,"Квітень",9.4
1920,"Квітень",12.5
1921,"Квітень",10.6
1922,"Квітень",6.6
1923,"Квітень",5.5
1924,"Квітень",5.3
